,LO1,LA1,EL1,LO1,LA1,EL1,VISIBLE
0,87.2,27.3,287.8613892,87.1,27.9,7346.435547,6701.216149
1,83.6,28.3,812.9851685,83.5,28.7,7631.313477,6655.382468
2,83.6,28.1,685.6680298,83.5,28.7,7631.313477,6588.383932
3,83.3,27.7,126.9192505,83.5,28.7,7631.313477,6502.717917
4,83.4,27.7,157.5125275,83.5,28.7,7631.313477,6494.759678
5,83.2,27.7,158.3808594,83.5,28.7,7631.313477,6433.53132
6,83.5,27.7,242.9943695,83.5,28.7,7631.313477,6416.822857
7,83.1,27.7,141.1066742,83.5,28.7,7631.313477,6397.990683
8,84.2,28.2,629.4398804,83.5,28.7,7631.313477,6391.001285
9,83.6,28.2,991.055542,83.5,28.7,7631.313477,6389.869082
10,83.7,28.2,974.4421387,83.5,28.7,7631.313477,6383.952012
11,87.2,27.5,805.8582764,87.1,27.9,7346.435547,6377.525993
12,84,28.2,830.2808838,83.5,28.7,7631.313477,6370.400913
13,83,27.7,122.8517532,83.5,28.7,7631.313477,6348.341109
14,83.6,28,813.824707,83.5,28.7,7631.313477,6333.925268
15,83.5,27.6,123.3988113,83.5,28.7,7631.313477,6332.410469
16,83.4,27.6,118.0657806,83.5,28.7,7631.313477,6330.191577
17,83.9,28,706.7371826,83.5,28.7,7631.313477,6328.150606
18,83.6,28.4,1212.090454,83.5,28.7,7631.313477,6324.290277
19,82.9,27.9,421.4561768,83.5,28.7,7631.313477,6316.975124
20,83.6,27.6,132.7703094,83.5,28.7,7631.313477,6315.487048
21,83.3,27.6,114.0221024,83.5,28.7,7631.313477,6311.57951
22,84.1,28.2,821.0079956,83.5,28.7,7631.313477,6297.06324
23,87.2,27,256.7715454,87.1,27.9,7346.435547,6295.133578
24,83.4,28.4,1242.7323,83.5,28.7,7631.313477,6293.648431
25,83.8,27.9,650.5553589,83.5,28.7,7631.313477,6291.214647
26,87.2,27.1,430.450531,87.1,27.9,7346.435547,6286.606507
27,83.7,27.6,140.9264069,83.5,28.7,7631.313477,6284.675206
28,84.1,28.1,735.4498291,83.5,28.7,7631.313477,6275.503156
29,83.2,27.6,113.5101013,83.5,28.7,7631.313477,6274.332013
30,84.2,28.1,654.5308838,83.5,28.7,7631.313477,6258.700815
31,83.7,28,876.8568726,83.5,28.7,7631.313477,6248.320596
32,82.9,27.7,142.1998749,83.5,28.7,7631.313477,6245.999026
33,84.3,28.1,559.873291,83.5,28.7,7631.313477,6240.603879
34,84.1,28,652.6550903,83.5,28.7,7631.313477,6231.751121
35,83.1,27.6,110.9632034,83.5,28.7,7631.313477,6224.015774
36,84,28.1,870.4885864,83.5,28.7,7631.313477,6223.152145
37,87.3,27.4,851.4530029,87.1,27.9,7346.435547,6221.625078
38,83.9,28.1,940.1379395,83.5,28.7,7631.313477,6221.156746
39,84.1,27.9,530.072876,83.5,28.7,7631.313477,6208.358424
40,83.9,27.9,684.4988403,83.5,28.7,7631.313477,6204.553456
41,83.6,27.9,806.7491455,83.5,28.7,7631.313477,6195.269902
42,83.3,28.2,1163.526001,83.5,28.7,7631.313477,6194.86815
43,87.1,27.1,540.6925659,87.1,27.9,7346.435547,6184.007468
44,82.8,27.9,475.5119934,83.5,28.7,7631.313477,6165.01648
45,84.2,28,623.7114258,83.5,28.7,7631.313477,6162.88258
46,83,27.6,109.9185181,83.5,28.7,7631.313477,6157.093846
47,83.2,27.8,628.2680054,83.5,28.7,7631.313477,6148.286992
48,82.8,27.8,334.3287048,83.5,28.7,7631.313477,6140.70684
49,83.3,28,988.8964233,83.5,28.7,7631.313477,6136.281045
